filename,status,items_count,confidence,processing_time,method_chosen,table_score,fallback_score,has_pack_size,has_prices,error
03290804-9bd5-4c7b-80a9-3eecacdac874__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.82,fallback,0.0,11.325,False,True,
03290804-9bd5-4c7b-80a9-3eecacdac874__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.384,fallback,0.0,11.325,False,True,
08871944-5c77-4956-adfa-dfdf88c7fb4a__friday22.08INV.jpeg,ok,3,0.8333333333333334,5.142,fallback,0.0,8.583333333333332,False,True,
08871944-5c77-4956-adfa-dfdf88c7fb4a__friday22.08INV.pre.png,ok,3,0.7999999999999999,3.52,fallback,0.0,8.55,False,True,
0e229607-8b94-415f-b593-3ac7801b332a__processed-D2FFA7FC-D1E7-4896-A28B-F04D136A2F50.jpeg,ok,8,0.7749999999999999,3.154,fallback,0.0,17.775,False,False,
0e229607-8b94-415f-b593-3ac7801b332a__processed-D2FFA7FC-D1E7-4896-A28B-F04D136A2F50.pre.png,ok,6,0.7833333333333332,2.836,fallback,0.0,13.783333333333333,False,False,
193a4a04-e2b4-431b-93e1-045f2085e740__processed-D2FFA7FC-D1E7-4896-A28B-F04D136A2F50.jpeg,ok,8,0.7749999999999999,3.189,fallback,0.0,17.775,False,False,
193a4a04-e2b4-431b-93e1-045f2085e740__processed-D2FFA7FC-D1E7-4896-A28B-F04D136A2F50.pre.png,ok,6,0.7833333333333332,2.803,fallback,0.0,13.783333333333333,False,False,
1cbe94a7-b9ef-4f1d-a4fe-eca6f26a1d7d__07.08P1INV.jpeg,ok,4,0.825,5.397,fallback,0.0,10.575,False,True,
1cbe94a7-b9ef-4f1d-a4fe-eca6f26a1d7d__07.08P1INV.pre.png,ok,0,0.8223694779116465,3.985,none,0.0,0.0,False,False,
24701928-183c-40d8-834f-17e9bea66580__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.84,fallback,0.0,11.325,False,True,
24701928-183c-40d8-834f-17e9bea66580__processed-4C99F607-686C-42FF-9166-84631324B347.pre.png,ok,4,0.825,4.547,fallback,0.0,11.325,False,True,
2550959d-1abb-433f-8cb8-227178e4d88e__26.08INV.jpeg,ok,3,0.8333333333333334,4.525,fallback,0.0,9.083333333333332,True,True,
2550959d-1abb-433f-8cb8-227178e4d88e__26.08INV.pre.png,ok,4,0.9,3.287,fallback,0.0,13.4,True,True,
2e1c65d2-ea57-4fc5-ab6c-5ed67d45dabc__26.08INV.jpeg,ok,3,0.8333333333333334,4.468,fallback,0.0,9.083333333333332,True,True,
2e1c65d2-ea57-4fc5-ab6c-5ed67d45dabc__26.08INV.pre.png,ok,4,0.9,3.307,fallback,0.0,13.4,True,True,
2e1c65d2-ea57-4fc5-ab6c-5ed67d45dabc__26.08INV.pre.pre.png,ok,4,0.9,3.285,fallback,0.0,13.4,True,True,
3b68cf94-b5af-4448-b9cc-e9e05b043440__processed-4C99F607-686C-42FF-9166-84631324B347.jpeg,ok,4,0.825,4.804,fallback,0.0,11.325,False,True,
